userid,first_name,last_name,password,email,isactive,avatar_url,avatar_name,confirmationpin,playfilter,tradefilter,chillfilter,isadmin,phone_number,birthmonth,birthday,birthyear,gender,confirmed,timestring,timestamp,action
darekj,Darek,Johnson,pass1,darekj@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,8,28,1994,Male,t,2016-12-08 22:58:56,1481255936.16618,ACCOUNT CREATED
elic,Eli,Chang,pass1,elic@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,3,13,1994,Male,t,2016-12-08 22:58:56,1481255936.28926,ACCOUNT CREATED
briank,Brian,Kibler,pass1,briank@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,2,11,1984,Male,t,2016-12-08 22:58:56,1481255936.38703,ACCOUNT CREATED
luisv,Luis,Scott-Vargas,pass1,luisv@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,10,18,1882,Male,t,2016-12-08 22:58:56,1481255936.48813,ACCOUNT CREATED
paulc,Paul,Cheon,pass1,paulc@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,9,29,1986,Male,t,2016-12-08 22:58:56,1481255936.58889,ACCOUNT CREATED
mashis,Mashi,Scanlan,pass1,mashis@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,5,8,1984,Male,t,2016-12-08 22:58:57,1481255937.15378,ACCOUNT CREATED
yuuyaw,Yuuya,Watanabe,pass1,yuuyaw@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,11,4,1990,Male,t,2016-12-08 22:58:57,1481255937.25202,ACCOUNT CREATED
shoutay,Shouta,Yasooka,pass1,shoutay@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,12, 10,1990,Male,t,2016-12-08 22:58:57,1481255937.35887,ACCOUNT CREATED
gabbys,Gabby,Spartz,pass1,gabbys@gmail.com,t,./static/avatars/gideon.png,gideon,confirmationPin,f,f,f,t,555-555-5555,2,28,1990,Female,t,2016-12-08 22:58:57,1481255937.45808,ACCOUNT CREATED
tse,Tracy,Tse,pass1,tse@yahoo.com,t,./static/avatars/elspeth.png,elspeth,39e5,f,f,f,t,555-555-5555,2,2,1953,Female,t,2016-12-08 23:01:04,1481256064.3157,ACCOUNT CREATED
mrdmrd,Mr,D,pass1,mrdmrd@mtd.com,t,./static/avatars/nicol.png,nicol,6113,f,f,f,t,555-555-5555,5,2,1954,Male,t,2016-12-09 04:05:05,1481256305.15179,ACCOUNT CREATED
